time (h), clicks per hour
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.458635143997564683e+02
2.000000000000000000e+00,1.497552108110905237e+03
3.000000000000000000e+00,2.141549794772821315e+03
4.000000000000000000e+00,2.409644234962784139e+03
5.000000000000000000e+00,2.736376222396868798e+03
6.000000000000000000e+00,2.922543735921125517e+03
7.000000000000000000e+00,2.914754819235430659e+03
8.000000000000000000e+00,2.806050649978592446e+03
9.000000000000000000e+00,2.896524827211090724e+03
1.000000000000000000e+01,2.938871359145644419e+03
1.100000000000000000e+01,2.840196281855470261e+03
1.200000000000000000e+01,2.623723308482831726e+03
1.300000000000000000e+01,2.799857664807175752e+03
1.400000000000000000e+01,2.397185683553310355e+03
1.500000000000000000e+01,2.290235013757930574e+03
1.600000000000000000e+01,2.215043789109762656e+03
1.700000000000000000e+01,2.104072297319435165e+03
1.800000000000000000e+01,1.829740866099059303e+03
1.900000000000000000e+01,1.765300054968378163e+03
2.000000000000000000e+01,1.575763863978685094e+03
2.100000000000000000e+01,1.676034295609967558e+03
2.200000000000000000e+01,1.453259875822900995e+03
2.300000000000000000e+01,1.282912130213644105e+03
2.400000000000000000e+01,1.288999224612229909e+03
2.500000000000000000e+01,1.025061636149403057e+03
2.600000000000000000e+01,1.230820497681658480e+03
2.700000000000000000e+01,1.040043235847723736e+03
2.800000000000000000e+01,7.345718172020343673e+02
2.900000000000000000e+01,8.165084807674745662e+02
3.000000000000000000e+01,2.098417747275393594e+03
3.100000000000000000e+01,7.662255089135887829e+02
3.200000000000000000e+01,6.388872691673893769e+02
3.300000000000000000e+01,4.766031565874322382e+02
3.400000000000000000e+01,4.114262395278965982e+02
3.500000000000000000e+01,5.489076475546359006e+02
3.600000000000000000e+01,4.802220502395491621e+02
3.700000000000000000e+01,4.349589734139252073e+02
3.800000000000000000e+01,3.785212196572983316e+02
3.900000000000000000e+01,3.672245426974845941e+02
4.000000000000000000e+01,2.499492018358035921e+02
4.100000000000000000e+01,2.393666626667067021e+02
4.200000000000000000e+01,2.065885193957587944e+02
4.300000000000000000e+01,1.411372830601889063e+02
4.400000000000000000e+01,1.375413553540016096e+02
4.500000000000000000e+01,2.612488141176217482e+02
4.600000000000000000e+01,3.002637005474351781e+02
4.700000000000000000e+01,1.403924511421839441e+02
4.800000000000000000e+01,3.078188933004361729e+02
4.900000000000000000e+01,1.551387534118391329e+02
5.000000000000000000e+01,2.818612833019102482e+02
5.100000000000000000e+01,2.675023669869572132e+02
5.200000000000000000e+01,8.269302075867372537e+01
5.300000000000000000e+01,4.818434378183292210e+01
5.400000000000000000e+01,1.952882423313849358e+02
5.500000000000000000e+01,-4.311564318191850731e+01
5.600000000000000000e+01,1.028920499581960826e+02
5.700000000000000000e+01,-7.243554502649726601e+01
5.800000000000000000e+01,-1.723969798278382370e+01
5.900000000000000000e+01,-9.113075870769614539e+01
6.000000000000000000e+01,-5.775759996960615439e+01
6.100000000000000000e+01,1.089909208513712287e+02
6.200000000000000000e+01,9.786958633515500594e+01
6.300000000000000000e+01,1.449064200340528430e+02
6.400000000000000000e+01,8.018607161951875639e+01
6.500000000000000000e+01,4.185963614527462084e+01
6.600000000000000000e+01,-4.401489587494737776e+01
6.700000000000000000e+01,-1.179009649348062823e+02
6.800000000000000000e+01,-7.982501863768069938e+01
6.900000000000000000e+01,-2.334213437410606318e+01
7.000000000000000000e+01,-2.944428132416782518e+01
7.100000000000000000e+01,-6.663274752559087233e+01
7.200000000000000000e+01,4.075212253743802648e+01
7.300000000000000000e+01,-1.029851679705204788e+02
7.400000000000000000e+01,3.189675549417165001e+01
7.500000000000000000e+01,-7.591992980774680433e+00
7.600000000000000000e+01,7.190477401076940112e+01
7.700000000000000000e+01,-5.159816805957256491e+01
7.800000000000000000e+01,1.353815418577484593e+02
7.900000000000000000e+01,-9.719312974522367199e+01
8.000000000000000000e+01,2.249836182293812925e+01
