time (h),Total viewing time (min)
0.00E+00,0.00E+00
1.00E+00,2.00E+04
2.00E+00,6.51E+04
3.00E+00,1.08E+05
4.00E+00,6.69E+04
5.00E+00,1.42E+05
6.00E+00,2.25E+05
7.00E+00,2.38E+05
8.00E+00,3.42E+05
9.00E+00,3.59E+05
1.00E+01,3.94E+05
1.10E+01,4.87E+05
1.20E+01,5.20E+05
1.30E+01,5.68E+05
1.40E+01,5.95E+05
1.50E+01,6.45E+05
1.60E+01,6.96E+05
1.70E+01,7.58E+05
1.80E+01,7.40E+05
1.90E+01,8.01E+05
2.00E+01,7.55E+05
2.10E+01,8.53E+05
2.20E+01,8.85E+05
2.30E+01,8.94E+05
2.40E+01,9.42E+05
2.50E+01,9.57E+05
2.60E+01,9.79E+05
2.70E+01,9.71E+05
2.80E+01,1.03E+06
2.90E+01,9.74E+05
3.00E+01,9.88E+05
3.10E+01,1.03E+06
3.20E+01,1.05E+06
3.30E+01,1.06E+06
3.40E+01,1.06E+06
3.50E+01,1.07E+06
3.60E+01,1.06E+06
3.70E+01,1.09E+06
3.80E+01,1.07E+06
3.90E+01,1.12E+06
4.00E+01,1.12E+06
4.10E+01,1.09E+06
4.20E+01,1.14E+06
4.30E+01,1.12E+06
4.40E+01,1.15E+06
4.50E+01,1.06E+06
4.60E+01,1.09E+06
4.70E+01,1.12E+06
4.80E+01,1.12E+06
4.90E+01,1.10E+06
5.00E+01,1.09E+06
5.10E+01,1.12E+06
5.20E+01,1.22E+06
5.30E+01,1.17E+06
5.40E+01,1.14E+06
5.50E+01,1.14E+06
5.60E+01,1.17E+06
5.70E+01,1.15E+06
5.80E+01,1.14E+06
5.90E+01,1.13E+06
6.00E+01,1.16E+06
6.10E+01,1.14E+06
6.20E+01,1.17E+06
6.30E+01,1.14E+06
6.40E+01,1.18E+06
6.50E+01,1.17E+06
6.60E+01,1.15E+06
6.70E+01,1.15E+06
6.80E+01,1.14E+06
6.90E+01,1.17E+06
7.00E+01,1.10E+06
7.10E+01,1.12E+06
7.20E+01,1.12E+06
7.30E+01,1.21E+06
7.40E+01,1.16E+06
7.50E+01,1.14E+06
7.60E+01,1.15E+06
7.70E+01,1.16E+06
7.80E+01,1.18E+06
7.90E+01,1.13E+06
8.00E+01,1.14E+06
