Buyer_ID,Product_Index,Category,Unit_Price,Sales_Quantity,Unit_Price_Last_Year,Sales_Quantity_Last_Year
KISSJ,15796,Decorations,0.93,13585,0.93,13585
KISSJ,15797,Decorations,2.31,7980,2.31,7980
KISSJ,15798,Toys,12.18,2153,12.18,2153
KISSJ,15799,Toys,1.46,21601,1.46,21601
KISSJ,15800,Decorations,4.23,9513,4.23,9513
KISSJ,15801,Decorations,0.51,27777,0.51,27777
KISSJ,15802,Toys,3.13,15159,3.13,15159
KISSJ,15803,Decorations,0.87,18932,0.87,18932
KISSJ,15804,Decorations,1.3,12185,1.3,12185
KISSJ,15805,Decorations,0.86,20941,0.86,20941
KISSJ,15806,Toys,2.13,22013,2.13,22013
KISSJ,15807,Decorations,5.37,8366,5.37,8366
KISSJ,15808,Toys,0.09,28863,0.09,20419
KISSJ,15809,Toys,0.82,23006,0.82,23006
KISSJ,15810,Decorations,0.94,21399,0.94,21399
KISSJ,15811,Decorations,2.34,15080,2.34,15080
KISSJ,15812,Decorations,45.63,832,45.63,832
KISSJ,15813,Decorations,1.92,17337,1.92,17337
KISSJ,15814,Decorations,1.2,14299,1.2,14299
KISSJ,15815,Decorations,3.02,6160,3.02,6160
KISSJ,15816,Decorations,8.93,4435,8.93,4435
KISSJ,15817,Toys,1.61,25360,1.61,25360
KISSJ,15818,Toys,3.31,16042,3.31,15492
KISSJ,15819,Toys,12.83,2208,12.83,2208
KISSJ,15820,Toys,1.55,27742,1.55,27742
KISSJ,15821,Decorations,1.61,20636,1.61,20636
KISSJ,15822,Decorations,0.33,20089,0.33,20089
KISSJ,15823,Toys,5.6,3462,5.6,3462
KISSJ,15824,Toys,3.81,9116,3.81,9116
KISSJ,15825,Toys,1.22,13869,1.22,13869
KISSJ,15826,Toys,1.73,17702,1.73,11590
KISSJ,15827,Toys,2.3,20571,2.29,20571
KISSJ,15828,Toys,4.91,8715,4.91,8715
KISSJ,15829,Toys,2.26,10122,2.25,10122
KISSJ,15830,Toys,2.35,23246,2.35,23246
KISSJ,15831,Toys,3.08,22429,3.08,22429
KISSJ,15832,Decorations,1.71,19988,1.71,19988
KISSJ,15833,Decorations,3.08,4851,3.08,4851
KISSJ,15834,Decorations,0.76,15368,0.76,15368
KISSJ,15835,Toys,25.51,1419,25.51,1419
KISSJ,15836,Toys,1.66,29388,1.66,29388
KISSJ,15837,Toys,11.75,4576,11.75,4576
KISSJ,15838,Decorations,4.37,11392,4.37,11392
KISSJ,15839,Decorations,1.51,20885,1.51,20885
KISSJ,15840,Toys,1.69,17949,1.69,17949
CQFMI,54958,Decorations,0.87,27945,0.87,27945
CQFMI,54959,Decorations,1.57,29931,1.57,29840
CQFMI,54960,Decorations,0.67,25108,0.67,25108
CQFMI,54961,Toys,1.89,16915,1.89,16915
CQFMI,54962,Toys,3.25,13080,3.25,13080
CQFMI,54963,Toys,2.06,26906,2.06,26906
CQFMI,54964,Decorations,1.1,25521,1.1,25521
CQFMI,54965,Decorations,1.22,23963,1.22,23963
CQFMI,54966,Toys,2.44,26816,2.44,26816
CQFMI,54967,Decorations,3.8,12242,3.8,12242
CQFMI,54968,Decorations,1.27,22178,1.27,22178
CQFMI,54969,Decorations,5.22,4593,5.22,4593
CQFMI,54970,Decorations,6.89,5956,6.89,5956
CQFMI,54971,Decorations,0.22,21335,0.22,21335
CQFMI,54972,Decorations,1.33,22661,1.33,22661
CQFMI,54973,Toys,1.52,16387,1.52,16387
CQFMI,54974,Decorations,2.4,7138,2.4,7138
CQFMI,54975,Decorations,0.66,11899,0.66,11899
CQFMI,54976,Toys,0.98,27423,0.98,27423
CQFMI,54977,Toys,0.59,12285,0.59,12285
CQFMI,54978,Decorations,11.22,2471,11.22,2471
CQFMI,54979,Toys,4.4,14301,4.4,14301
CQFMI,54980,Toys,3.23,14046,3.23,14046
CLBSQP,9497,Decorations,0.21,23999,0.21,23999
CLBSQP,9498,Decorations,2.22,9925,2.22,9925
CLBSQP,9499,Decorations,2.16,9794,2.16,9794
CLBSQP,9500,Decorations,0.57,19000,0.56,19000
CLBSQP,9501,Toys,2.69,24744,2.69,24744
CLBSQP,9502,Decorations,2.03,14834,2.02,14834
CLBSQP,9503,Decorations,1.45,21175,1.45,21175
CLBSQP,9504,Toys,12.87,3323,12.87,3323
CLBSQP,9505,Decorations,4.37,11043,4.37,11043
CLBSQP,9506,Decorations,5.12,9978,5.12,9978
CLBSQP,9507,Toys,2.9,16251,2.9,16251
CLBSQP,9508,Toys,1.21,26638,1.21,26638
CLBSQP,9509,Decorations,2.11,24157,2.11,24157
CLBSQP,9510,Toys,9.75,5949,9.75,5949
CLBSQP,9511,Decorations,3.49,14706,3.49,14706
CLBSQP,9512,Decorations,2.57,14804,2.57,14804
CLBSQP,9513,Toys,13.48,2305,13.48,2305
CLBSQP,9514,Decorations,0.49,22079,0.49,22079
CLBSQP,9515,Toys,27.33,1706,27.33,1706
CLBSQP,9516,Decorations,3.06,11195,3.06,11195
CLBSQP,9517,Toys,0.62,27055,0.62,27055
CLBSQP,9518,Decorations,1.0,18340,1.0,18340
CLBSQP,9519,Toys,3.12,12011,3.12,12011
CLBSQP,9520,Toys,0.91,14360,0.91,14360
