Product_Index,Profit_Margin,Promotional_Input,Fixed_Costs
15796,0.189,12559,378.59
15797,0.049,4368,552.38
15798,0.154,4797,785.81
15799,0.062,16114,945.05
15800,0.027,14718,1205.82
15801,0.031,2792,424.5
15802,0.025,12053,1421.81
15803,0.045,4476,493.56
15804,0.045,4417,474.67
15805,0.128,2645,539.66
15806,0.02,15755,1405.03
15807,0.07,4072,1346.23
15808,0.032,2854,77.84
15809,0.039,5662,565.3
15810,0.027,7514,602.76
15811,0.193,3708,1057.41
15812,0.037,12694,1137.63
15813,0.082,10524,997.47
15814,0.009,7456,514.17
15815,0.038,5212,557.46
15816,0.042,14224,1186.78
15817,0.032,8970,1223.49
15818,0.018,17920,1591.16
15819,0.277,2625,848.89
15820,0.2,11314,1288.53
15821,0.035,8973,995.58
15822,0.269,9577,198.65
15823,0.061,9070,580.95
15824,0.035,9666,1040.77
15825,0.049,4600,507.02
15826,0.053,7783,917.69
15827,0.049,14226,1417.78
15828,0.037,10146,1282.26
15829,0.045,5971,685.49
15830,0.192,14490,1636.98
15831,0.028,18589,2070.08
15832,0.029,13951,1024.22
15833,0.186,13312,447.72
15834,0.165,2990,349.99
15835,0.022,6299,1084.72
15836,0.036,13997,1461.86
15837,0.028,14472,1611.2
15838,0.11,5380,1491.79
15839,0.088,5757,945.01
15840,0.043,11395,908.98
54958,0.033,7272,778.94
54959,0.013,17955,1505.57
54960,0.03,4631,538.97
54961,0.052,7172,1024.27
54962,0.033,10312,1361.99
54963,0.037,19663,1775.82
54964,0.035,9906,899.44
54965,0.286,18159,936.66
54966,0.041,19631,2096.36
54967,0.039,17462,1490.45
54968,0.053,9080,902.42
54969,0.027,8099,768.15
54970,0.04,15916,1314.79
54971,0.08,8083,150.38
54972,0.04,10223,965.63
54973,0.033,5940,798.04
54974,0.033,4456,548.87
54975,0.164,8788,251.61
54976,0.251,3711,861.04
54977,0.076,12280,232.22
54978,0.179,19052,888.27
54979,0.031,17531,2016.05
54980,0.043,13089,1453.57
9497,0.2,14411,185.08
9498,0.142,16233,809.19
9499,0.236,16887,776.93
9500,0.257,3005,397.73
9501,0.046,19400,2444.51
9502,0.027,11860,1105.92
9503,0.031,11070,1127.61
9504,0.045,10388,1570.64
9505,0.031,19156,1772.3
9506,0.015,19135,1876.21
9507,0.029,15609,1730.8
9508,0.277,17363,1183.74
9509,0.039,17923,1871.95
9510,0.04,15823,2130.19
9511,0.033,18845,1884.9
9512,0.234,9547,1397.27
9513,0.082,12515,1141.11
9514,0.033,1234,397.32
9515,0.294,15562,1712.33
9516,0.072,18932,1258.1
9517,0.16,8480,616.04
9518,0.023,5213,673.54
9519,0.03,11293,1376.27
9520,0.043,2673,479.91
9521,0.051,3100,577.51
9522,0.021,12849,1661.34
9523,0.033,19199,2502.86
9524,0.031,4841,630.51
9525,0.044,11197,1422.49
9526,0.032,9016,1073.13
9527,0.001,8011,2036.21
9528,0.041,5493,860.04
9529,0.033,18058,1755.65
9530,0.028,9578,953.43
9531,0.042,3158,639.36
9532,0.16,3064,1170.38
9533,0.048,4253,734.62
9534,0.026,13828,1356.29
9535,0.037,2401,531.41
9536,0.044,16193,2171.37
9537,0.046,13096,1929.53
9538,0.032,5214,628.84
9539,0.04,12023,1362.23
9540,0.047,12950,1650.23
9541,0.049,11704,1259.95
9542,0.286,11343,1865.99
9543,0.295,12867,357.57
